Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726088602.1171834,1726088602.1165934,"[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 -1.34  0.    0.    0.  ]","[3.0925052 4.127942  4.155554  2.8255925 3.1293209 4.9608936 4.129476
 3.1630683 3.2106218 4.9961753 4.46235   3.3118646 4.537515  3.1569324
 3.3747578 2.5034566]","[ 0.02398082 -0.69544387 -1.0311754   0.5275781   0.         -0.69544387
 -0.7673864   0.          0.         -0.7434055  -0.91127133 -0.14388494
 -0.9832138   0.02398082 -0.28776988  0.815348  ]",pos,,start
1726088602.1989918,1726088602.1165934,"[  14.74 -235.84  -77.72   16.08   17.42 -641.86  -58.96  -20.1   -24.12
 -558.78  -80.4   -18.76 -183.58   -8.04  -22.78   26.8 ]","[3.103243  3.8533597 3.8134763 2.954447  3.1293209 4.4991655 3.7705247
 3.1569324 3.2075539 4.5283113 4.0052238 3.2520392 4.1126027 3.1523306
 3.284253  2.7442915]","[ 0.26378906 -4.2925673  -5.2518005   1.4388494   0.02398082 -8.105518
 -5.395685   -0.26378906 -0.04796165 -8.177461   -6.786573   -0.8633097
 -6.7386117  -0.02398082 -1.2470028   3.2134304 ]",pos,,start
1726088602.2781408,1726088602.1165934,"[  14.74  -30.82  -10.72   13.4    17.42 -104.52    0.    -17.42  -24.12
  -22.78    0.    -14.74  -46.9   -10.72  -18.76   13.4 ]","[3.104777  3.5327578 3.4760005 3.0495539 3.1308548 3.9085832 3.4499228
 3.1492627 3.201418  3.9009132 3.5619035 3.19835   3.66468   3.1523306
 3.2136898 2.9437091]","[ 0.02398082 -3.1894495  -2.997603    1.0551562   0.02398082 -5.6115127
 -3.1414878  -0.0959233  -0.02398082 -6.546765   -4.0767403  -0.5035973
 -3.9328551   0.         -0.5995206   1.918466  ]",pos,,start
1726088602.3585145,1726088602.1165934,"[  14.74  -38.86  -25.46   12.06   18.76 -150.08  -16.08  -18.76  -25.46
  -96.48  -18.76  -14.74  -68.34   -8.04  -18.76   14.74]","[3.104777  3.3686218 3.3256702 3.0971072 3.1308548 3.6278646 3.2995927
 3.1507967 3.19835   3.580311  3.345612  3.1722722 3.4667966 3.1492627
 3.1799421 3.044952 ]","[-0.02398082 -1.5107919  -1.2949644   0.4796165   0.0959233  -2.3741016
 -1.3189453   0.          0.         -2.6378906  -1.7985618  -0.16786577
 -1.7266194   0.         -0.26378906  0.8633097 ]",pos,,start
1726088602.4386768,1726088602.1165934,"[  16.08  -29.48  -26.8     4.02   17.42 -134.    -16.08  -18.76  -25.46
 -105.86  -25.46  -14.74  -61.64   -9.38  -20.1    13.4 ]","[3.103243  3.282719  3.2566411 3.121651  3.1354568 3.49901   3.2351656
 3.1492627 3.19835   3.4529908 3.261243  3.1661363 3.3778257 3.1492627
 3.1676702 3.0879033]","[ 0.         -0.7194247  -0.551559    0.23980825  0.02398082 -0.9832138
 -0.4796165   0.          0.         -0.9832138  -0.5995206   0.
 -0.6714631   0.         -0.0959233   0.3836932 ]",pos,,start
1726088602.5182333,1726088602.1165934,"[  16.08  -38.86  -26.8    12.06   17.42 -164.82  -16.08  -18.76  -24.12
 -125.96  -30.82  -13.4   -68.34   -9.38  -18.76   13.4 ]","[3.103243  3.2581751 3.2305636 3.1277869 3.1354568 3.4713986 3.2136898
 3.1507967 3.19835   3.420777  3.2382333 3.1661363 3.345612  3.1477287
 3.1630683 3.106311 ]","[ 0.         -0.0959233  -0.14388494  0.02398082  0.02398082  0.
 -0.14388494  0.04796165  0.         -0.0959233  -0.0959233   0.
 -0.23980825  0.         -0.02398082  0.14388494]",pos,,start
1726088602.597865,1726088602.1165934,"[  16.08  -41.54  -30.82   12.06   16.08 -167.5   -16.08  -16.08  -25.46
 -129.98  -32.16  -13.4   -64.32   -9.38  -20.1    13.4 ]","[3.103243  3.2566411 3.2274957 3.1277869 3.1354568 3.4713986 3.2090878
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3364081 3.1477287
 3.1630683 3.112447 ]","[ 0.          0.          0.          0.02398082  0.02398082  0.
  0.          0.          0.          0.          0.         -0.02398082
 -0.07194247  0.          0.          0.02398082]",pos,,start
1726088602.678009,1726088602.1165934,"[  14.74  -41.54  -30.82    5.36   16.08 -167.5   -17.42   -9.38  -24.12
 -128.64  -32.16  -14.74  -68.34   -9.38  -20.1    14.74]","[3.103243  3.2566411 3.2259617 3.1277869 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[ 0.          0.          0.          0.02398082  0.02398082  0.
  0.          0.02398082  0.          0.02398082  0.          0.
 -0.02398082  0.          0.          0.02398082]",pos,,start
1726088602.7585127,1726088602.1165934,"[  16.08  -41.54  -29.48    6.7    16.08 -167.5   -16.08   -1.34  -24.12
 -129.98  -33.5   -14.74  -67.     -8.04  -20.1    14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.02398082 0.         0.02398082 0.
 0.         0.         0.         0.02398082 0.         0.
 0.         0.02398082 0.         0.02398082]",pos,,start
1726088602.8385768,1726088602.1165934,"[  16.08  -41.54  -32.16    6.7    17.42 -167.5   -16.08  -18.76  -24.12
 -129.98  -33.5   -14.74  -69.68   -9.38  -20.1    14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.         0.         0.02398082 0.
 0.         0.         0.         0.02398082 0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726088602.9181647,1726088602.1165934,"[  14.74  -41.54  -29.48   12.06   16.08 -166.16  -16.08  -14.74  -25.46
 -129.98  -33.5   -14.74  -71.02   -8.04  -18.76   14.74]","[3.103243  3.2566411 3.2274957 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.         0.         0.02398082 0.
 0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.         0.02398082 0.02398082]",pos,,start
1726088602.9978497,1726088602.1165934,"[  16.08  -41.54  -30.82    8.04   16.08 -166.16  -16.08  -14.74  -24.12
 -129.98  -33.5   -13.4   -72.36   -2.68  -20.1    14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.02398082 0.02398082 0.02398082 0.
 0.         0.         0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726088603.0778823,1726088602.1165934,"[  14.74  -41.54  -29.48   10.72   17.42 -167.5   -17.42   -4.02  -24.12
 -129.98  -33.5   -13.4   -73.7   -10.72  -20.1    16.08]","[3.103243  3.2566411 3.2274957 3.1293209 3.1354568 3.4713986 3.2075539
 3.1492627 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.02398082 0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.         0.02398082 0.02398082]",pos,,start
1726088603.1581023,1726088602.1165934,"[  13.4   -41.54  -32.16   12.06   17.42 -166.16  -16.08  -17.42  -25.46
 -129.98  -33.5   -14.74  -73.7    -9.38  -18.76   14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1492627 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.         0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.         0.02398082 0.02398082]",pos,,start
1726088603.2388616,1726088602.1165934,"[  16.08  -41.54  -29.48    5.36   17.42 -167.5   -16.08  -20.1   -24.12
 -129.98  -33.5   -12.06  -73.7    -9.38  -18.76   14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.02398082 0.         0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726088603.349872,1726088602.1165934,"[  14.74  -40.2   -29.48    9.38   17.42 -167.5   -16.08  -17.42  -24.12
 -131.32  -33.5   -14.74  -73.7    -9.38  -20.1    14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.02398082 0.02398082 0.02398082 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02398082 0.02398082]",pos,,start
1726088603.4298759,1726088602.1165934,"[  14.74  -41.54  -32.16   10.72   17.42 -167.5   -17.42   -5.36  -24.12
 -129.98  -33.5   -14.74  -73.7    -9.38  -20.1    14.74]","[3.103243  3.2566411 3.2274957 3.1277869 3.1354568 3.4713986 3.2075539
 3.1492627 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.         0.         0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.         0.02398082]",pos,,start
1726088603.5101466,1726088602.1165934,"[  16.08  -41.54  -32.16   12.06   16.08 -167.5   -17.42  -18.76  -25.46
 -129.98  -33.5   -13.4   -73.7    -9.38  -18.76   14.74]","[3.103243  3.2566411 3.2274957 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.         0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726088603.5903966,1726088602.1165934,"[  14.74  -41.54  -28.14   12.06   17.42 -166.16  -16.08  -13.4   -24.12
 -131.32  -33.5   -13.4   -75.04  -10.72  -18.76   14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.         0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.         0.02398082 0.02398082]",pos,,start
1726088603.669856,1726088602.1165934,"[  14.74  -40.2   -29.48    4.02   17.42 -167.5   -17.42  -18.76  -24.12
 -129.98  -33.5   -13.4   -75.04   -9.38  -18.76   14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1492627 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.         0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726088603.7499108,1726088602.1165934,"[  16.08  -41.54  -29.48   12.06   17.42 -166.16  -17.42  -18.76  -24.12
 -129.98  -33.5   -14.74  -75.04   -9.38  -20.1    14.74]","[3.103243  3.2566411 3.2259617 3.1293209 3.1354568 3.4713986 3.2075539
 3.1507967 3.19835   3.419243  3.2351656 3.1646023 3.3318062 3.1477287
 3.1630683 3.112447 ]","[0.         0.         0.02398082 0.02398082 0.02398082 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02398082 0.02398082]",pos,,start
