Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726093836.7062144,1726093836.7056174,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[3.0756314 4.7768164 3.4821365 3.1339228 3.1569324 4.4945636 4.3549714
 3.8180783 3.2413013 4.6126804 4.393321  4.0359035 4.7875543 3.0740974
 3.4054372 2.8961558]","[ 0.04796165 -0.69544387 -0.26378906  0.02398082 -0.02398082 -0.5035973
 -0.57553977 -0.551559   -0.02398082 -0.6235014  -0.5275781  -0.5275781
 -0.6235014   0.14388494 -0.35971236  0.26378906]",pos,,start
1726093836.787573,1726093836.7056174,"[  18.76 -552.08  -53.6    -9.38  -22.78 -300.16  -79.06  -36.18  -20.1
 -337.68  -88.44  -54.94 -278.72   16.08  -18.76   21.44]","[3.0879033 4.3626413 3.3839617 3.1400588 3.1569324 4.104933  3.9315927
 3.5588355 3.2290297 4.2123113 3.9776123 3.7199035 4.299748  3.0971072
 3.2949908 2.9805248]","[ 0.23980825 -6.930458   -1.6067152  -0.14388494  0.         -6.4748225
 -6.5947266  -3.6450853  -0.1918466  -6.522784   -6.4508414  -4.65228
 -7.9856143   0.26378906 -1.5347728   1.1270987 ]",pos,,start
1726093836.867034,1726093836.7056174,"[ 20.1  -92.46 -18.76  12.06 -22.78 -41.54   0.   -13.4  -18.76 -46.9
   0.    -1.34 -16.08  14.74 -14.74  16.08]","[3.0971072 3.8502917 3.273515  3.1385248 3.1538644 3.667748  3.5296898
 3.345612  3.2136898 3.741379  3.5480976 3.420777  3.7582529 3.113981
 3.2106218 3.0526218]","[ 0.0959233  -5.0599537  -1.0071946   0.0959233   0.04796165 -4.340529
 -3.836932   -1.9664276  -0.11990412 -4.796165   -3.8848934  -2.7817755
 -5.275781    0.11990412 -0.7194247   0.6714631 ]",pos,,start
1726093836.946679,1726093836.7056174,"[  20.1  -121.94  -21.44    0.    -21.44  -62.98  -16.08  -21.44  -18.76
  -77.72  -14.74  -14.74  -61.64   13.4   -16.08   16.08]","[3.0986412 3.589515  3.2259617 3.1385248 3.1507967 3.4499228 3.3364081
 3.2382333 3.2090878 3.49901   3.344078  3.271981  3.4928741 3.120117
 3.1753402 3.0894372]","[-0.02398082 -2.1342933  -0.28776988  0.02398082  0.         -1.7266194
 -1.5587536  -0.91127133  0.         -1.918466   -1.6546768  -1.1990412
 -2.1103125   0.07194247 -0.26378906  0.35971236]",pos,,start
1726093837.027472,1726093836.7056174,"[  20.1  -116.58  -24.12    0.    -22.78  -54.94  -18.76  -21.44  -18.76
  -71.02  -20.1   -16.08  -62.98    9.38  -16.08   13.4 ]","[3.0986412 3.4821365 3.2136898 3.1400588 3.1507967 3.35635   3.2581751
 3.192214  3.2090878 3.3977675 3.261243  3.2121558 3.3854957 3.120117
 3.1584663 3.106311 ]","[ 0.02398082 -0.8872905  -0.04796165  0.02398082  0.         -0.7913672
 -0.5995206  -0.3836932   0.         -0.7913672  -0.5995206  -0.5035973
 -0.815348    0.04796165 -0.07194247  0.14388494]",pos,,start
1726093837.1073012,1726093836.7056174,"[  20.1  -148.74  -25.46    0.    -22.78  -64.32  -20.1   -20.1   -18.76
  -85.76  -24.12  -14.74  -67.     14.74  -14.74   13.4 ]","[3.0986412 3.4499228 3.2136898 3.1400588 3.1507967 3.3256702 3.2336316
 3.1722722 3.2090878 3.3701558 3.2351656 3.186078  3.34868   3.121651
 3.1538644 3.112447 ]","[ 0.02398082 -0.04796165  0.          0.02398082  0.         -0.0959233
 -0.1918466  -0.14388494  0.         -0.11990412 -0.11990412 -0.21582742
 -0.23980825  0.02398082 -0.04796165  0.02398082]",pos,,start
1726093837.1868167,1726093836.7056174,"[  21.44 -156.78  -25.46    0.    -22.78  -67.    -21.44  -18.76  -18.76
  -92.46  -26.8   -16.08  -72.36   14.74  -16.08   14.74]","[3.0986412 3.4499228 3.2136898 3.1400588 3.1507967 3.3256702 3.2274957
 3.1661363 3.2090878 3.3670878 3.2305636 3.1738062 3.3379421 3.121651
 3.1538644 3.112447 ]","[ 0.02398082  0.          0.          0.02398082  0.          0.02398082
  0.         -0.02398082  0.          0.         -0.02398082 -0.04796165
 -0.02398082  0.02398082  0.          0.02398082]",pos,,start
1726093837.266688,1726093836.7056174,"[  20.1  -152.76  -25.46    0.    -22.78  -67.    -22.78  -21.44  -20.1
  -92.46  -24.12  -14.74  -71.02   13.4   -16.08   14.74]","[3.1001751 3.4499228 3.2136898 3.1400588 3.1507967 3.3256702 3.2274957
 3.1661363 3.2090878 3.3670878 3.2274957 3.1738062 3.3379421 3.121651
 3.1538644 3.112447 ]","[0.02398082 0.02398082 0.         0.02398082 0.         0.02398082
 0.         0.         0.         0.         0.         0.
 0.         0.02398082 0.         0.02398082]",pos,,start
1726093837.3468199,1726093836.7056174,"[  20.1  -151.42  -25.46    0.    -21.44  -68.34  -22.78  -20.1   -18.76
  -91.12  -25.46  -16.08  -65.66   14.74  -16.08   13.4 ]","[3.1001751 3.4499228 3.2136898 3.1400588 3.1507967 3.3256702 3.2274957
 3.1661363 3.2090878 3.3670878 3.2274957 3.1738062 3.3318062 3.121651
 3.1538644 3.112447 ]","[ 0.02398082  0.          0.          0.02398082  0.          0.
  0.          0.          0.          0.          0.          0.
 -0.04796165  0.02398082  0.          0.02398082]",pos,,start
1726093837.4267623,1726093836.7056174,"[  20.1  -152.76  -26.8     0.    -22.78  -68.34  -22.78  -20.1   -18.76
  -92.46  -25.46  -14.74  -72.36   13.4   -16.08   14.74]","[3.1001751 3.4499228 3.2136898 3.1400588 3.1507967 3.3256702 3.2274957
 3.1646023 3.2090878 3.3670878 3.2274957 3.1738062 3.3318062 3.121651
 3.1538644 3.112447 ]","[0.02398082 0.02398082 0.         0.02398082 0.         0.
 0.         0.         0.         0.         0.         0.
 0.02398082 0.02398082 0.         0.02398082]",pos,,start
