Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726094418.7114384,1726094418.7107353,"[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.   -2.68  0.    0.  ]","[3.121651  4.3350296 3.4161751 3.2320976 3.201418  4.465418  4.465418
 3.7260394 3.3379421 4.387185  4.5835347 3.6907578 4.687845  3.0495539
 3.35635   2.868544 ]","[ 0.         -0.7913672  -0.28776988 -0.0959233  -0.07194247 -0.7913672
 -0.9832138  -0.69544387 -0.16786577 -0.7913672  -1.0791371  -0.57553977
 -0.91127133  0.16786577 -0.28776988  0.3117507 ]",pos,,start
1726094418.793748,1726094418.7107353,"[   4.02 -272.02  -40.2   -17.42  -20.1  -266.66  -64.32  -28.14  -26.8
 -273.36 -100.5   -34.84 -326.96   12.06  -20.1    22.78]","[3.123185  4.0098257 3.3364081 3.204486  3.187612  4.075787  4.00369
 3.503612  3.2888548 4.0435734 4.095729  3.4913402 4.253729  3.0786994
 3.273515  2.962117 ]","[ 0.         -5.4196663  -1.3189453  -0.5275781  -0.21582742 -6.426861
 -7.122305   -3.1894495  -0.7434055  -5.8992825  -7.601921   -2.9256606
 -7.4100747   0.3836932  -1.0551562   1.3189453 ]",pos,,start
1726094418.8725238,1726094418.7107353,"[ 12.06 -71.02 -22.78 -14.74 -20.1  -76.38   0.   -12.06 -21.44 -99.16
   0.   -18.76 -50.92  10.72 -18.76  13.4 ]","[3.118583  3.6401365 3.2520392 3.1722722 3.1738062 3.670816  3.5557675
 3.3149326 3.2413013 3.6554763 3.6109908 3.3133986 3.750583  3.103243
 3.2106218 3.0495539]","[-0.02398082 -3.4292579  -0.6714631  -0.23980825 -0.07194247 -3.6930468
 -4.100721   -1.630696   -0.43165484 -3.6930468  -4.7002416  -1.7266194
 -4.7482033   0.1918466  -0.69544387  0.7913672 ]",pos,,start
1726094418.9525995,1726094418.7107353,"[ 14.74 -61.64 -22.78 -14.74 -18.76 -75.04  -9.38 -16.08 -22.78 -71.02
 -16.08 -20.1  -53.6    9.38 -14.74  14.74]","[3.118583  3.4437869 3.2198257 3.1600003 3.1676702 3.4729326 3.339476
 3.2228937 3.2244277 3.4514568 3.3670878 3.2259617 3.4867384 3.115515
 3.1768742 3.0925052]","[ 0.02398082 -1.6546768  -0.23980825 -0.0959233  -0.02398082 -1.6546768
 -1.7506001  -0.7194247  -0.07194247 -1.7026385  -2.0863316  -0.7434055
 -2.182255    0.0959233  -0.21582742  0.407674  ]",pos,,start
1726094419.0324478,1726094418.7107353,"[ 13.4  -71.02 -26.8  -13.4  -20.1  -92.46 -18.76 -17.42 -26.8  -88.44
 -24.12 -20.1  -61.64  10.72 -17.42  12.06]","[3.118583  3.3716898 3.2136898 3.1584663 3.1661363 3.4039035 3.2581751
 3.184544  3.2244277 3.3808937 3.270447  3.19068   3.3870296 3.115515
 3.1692042 3.112447 ]","[-0.02398082 -0.4796165   0.          0.          0.         -0.43165484
 -0.6235014  -0.3117507   0.         -0.407674   -0.7434055  -0.28776988
 -0.69544387  0.02398082 -0.02398082  0.16786577]",pos,,start
1726094419.1125307,1726094418.7107353,"[   9.38  -91.12  -25.46   -1.34  -18.76 -109.88  -20.1   -17.42  -25.46
  -99.16  -26.8   -18.76  -65.66   10.72  -17.42   13.4 ]","[3.117049  3.359418  3.2136898 3.1569324 3.1661363 3.3916316 3.2305636
 3.1676702 3.2244277 3.3701558 3.2366996 3.1738062 3.354816  3.115515
 3.1676702 3.120117 ]","[ 0.02398082  0.          0.          0.          0.02398082  0.
 -0.1918466  -0.0959233   0.02398082  0.         -0.21582742 -0.07194247
 -0.21582742  0.02398082  0.          0.11990412]",pos,,start
1726094419.1928313,1726094418.7107353,"[  13.4   -91.12  -25.46   -8.04  -18.76 -109.88  -21.44  -17.42  -26.8
  -99.16  -29.48  -18.76  -72.36   10.72  -17.42   13.4 ]","[3.117049  3.359418  3.2136898 3.1584663 3.1661363 3.3916316 3.2259617
 3.1646023 3.2244277 3.3701558 3.2305636 3.1692042 3.345612  3.115515
 3.1676702 3.120117 ]","[ 0.02398082  0.          0.          0.02398082  0.02398082  0.
  0.          0.          0.          0.          0.         -0.04796165
 -0.02398082  0.02398082  0.          0.02398082]",pos,,start
1726094419.2723906,1726094418.7107353,"[   9.38  -89.78  -26.8   -13.4   -18.76 -109.88  -20.1   -17.42  -24.12
 -100.5   -29.48  -18.76  -64.32   10.72  -17.42   13.4 ]","[3.117049  3.359418  3.2136898 3.1569324 3.1661363 3.3916316 3.2259617
 3.1646023 3.2228937 3.3701558 3.2305636 3.1676702 3.342544  3.115515
 3.1676702 3.120117 ]","[ 0.          0.          0.          0.02398082  0.          0.
  0.02398082  0.          0.          0.          0.          0.
 -0.04796165  0.02398082  0.          0.02398082]",pos,,start
1726094419.3524642,1726094418.7107353,"[  12.06  -91.12  -26.8    -8.04  -20.1  -109.88  -20.1   -17.42  -24.12
 -100.5   -29.48  -20.1   -72.36   10.72  -17.42   13.4 ]","[3.117049  3.359418  3.2136898 3.1569324 3.1646023 3.3916316 3.2244277
 3.1646023 3.2244277 3.3701558 3.2305636 3.1676702 3.342544  3.115515
 3.1676702 3.120117 ]","[0.         0.         0.         0.         0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.02398082
 0.         0.02398082 0.         0.02398082]",pos,,start
1726094419.4323838,1726094418.7107353,"[  13.4   -91.12  -25.46  -13.4   -20.1  -109.88  -22.78  -17.42  -25.46
  -99.16  -30.82  -18.76  -73.7    10.72  -17.42   13.4 ]","[3.117049  3.359418  3.2136898 3.1569324 3.1646023 3.3916316 3.2244277
 3.1646023 3.2244277 3.3701558 3.2305636 3.1676702 3.342544  3.115515
 3.1676702 3.120117 ]","[0.02398082 0.         0.         0.02398082 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.02398082 0.         0.02398082]",pos,,start
