Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726085583.0242598,1726085583.0235448,"[-1.34  0.    0.    1.34  0.    0.    0.    0.    0.    0.    0.    0.
  2.68  0.    0.    0.  ]","[3.110913  3.749049  4.30435   2.7841752 3.18301   4.7829523 4.6510296
 3.2474372 3.2106218 4.729263  4.721593  2.9866605 4.5820007 3.0694954
 4.155554  2.2089324]","[ 0.         -0.551559   -1.1270987   0.6235014  -0.07194247 -0.815348
 -1.2709837  -0.14388494 -0.02398082 -0.7913672  -1.1510795   0.23980825
 -1.1990412   0.23980825 -1.3189453   1.223022  ]",pos,,start
1726085583.1072586,1726085583.0235448,"[  14.74  -97.82  -77.72   18.76  -20.1  -485.08  -62.98  -20.1   -25.46
 -371.18 -109.88   18.76 -178.22    9.38  -34.84   33.5 ]","[3.113981  3.586447  3.9177868 2.9222333 3.1692042 4.3519034 4.132544
 3.2075539 3.2075539 4.305884  4.2092433 3.038816  4.134078  3.1017091
 3.7781947 2.5448742]","[ 0.02398082 -3.0455647  -5.851321    1.7506001  -0.1918466  -7.1942472
 -8.105518   -0.5995206  -0.04796165 -7.0263815  -8.153481    0.6714631
 -6.666669    0.35971236 -5.563551    4.844126  ]",pos,,start
1726085583.186647,1726085583.0235448,"[  13.4   -12.06   -4.02   13.4   -14.74 -160.8     0.    -16.08  -24.12
  -77.72    0.     16.08  -42.88    9.38    0.      2.68]","[3.117049  3.359418  3.5220199 3.035748  3.1553984 3.8610296 3.6063888
 3.1692042 3.201418  3.7935345 3.6401365 3.0786994 3.6800199 3.120117
 3.423845  2.8516703]","[ 0.04796165 -2.2302167  -3.525181    1.0551562  -0.11990412 -4.5563564
 -4.7482033  -0.33573154 -0.04796165 -4.9880114  -5.035973    0.3836932
 -4.1966443   0.16786577 -3.0215838   2.7817755 ]",pos,,start
1726085583.267293,1726085583.0235448,"[  13.4    -9.38  -22.78   12.06   -5.36 -162.14   -6.7    -4.02  -24.12
  -92.46  -14.74   16.08  -57.62   10.72  -21.44    8.04]","[3.117049  3.2305636 3.34101   3.0879033 3.1507967 3.6217287 3.3686218
 3.1553984 3.201418  3.5373597 3.3870296 3.1001751 3.4713986 3.123185
 3.276583  3.0004663]","[ 0.02398082 -0.7673864  -1.5587536   0.5275781  -0.0959233  -1.9904084
 -1.9664276  -0.07194247 -0.02398082 -2.0143893  -2.1342933   0.23980825
 -1.7026385   0.02398082 -1.2949644   1.3429261 ]",pos,,start
1726085583.3468246,1726085583.0235448,"[  13.4   -16.08  -24.12   10.72  -10.72 -170.18  -18.76  -18.76  -24.12
 -111.22  -26.8    13.4   -65.66   10.72  -20.1    10.72]","[3.117049  3.196816  3.2597091 3.118583  3.1446607 3.5266218 3.265845
 3.1538644 3.199884  3.4437869 3.279651  3.115515  3.3839617 3.123185
 3.2090878 3.0694954]","[ 0.         -0.16786577 -0.5995206   0.26378906 -0.02398082 -0.7194247
 -0.7673864   0.02398082  0.         -0.6714631  -0.7673864   0.16786577
 -0.6474822   0.         -0.5035973   0.551559  ]",pos,,start
1726085583.4264789,1726085583.0235448,"[  14.74  -20.1   -25.46   10.72  -16.08 -179.56  -18.76   -4.02  -24.12
 -125.96  -29.48   13.4   -72.36   10.72  -20.1    10.72]","[3.117049  3.195282  3.2320976 3.1277869 3.1431267 3.497476  3.2305636
 3.1553984 3.199884  3.417709  3.2459033 3.121651  3.351748  3.123185
 3.181476  3.0986412]","[ 0.          0.02398082 -0.1918466   0.02398082 -0.04796165 -0.11990412
 -0.28776988  0.02398082  0.02398082 -0.04796165 -0.26378906  0.02398082
 -0.23980825  0.         -0.23980825  0.26378906]",pos,,start
1726085583.5062265,1726085583.0235448,"[  14.74  -20.1   -26.8    12.06  -17.42 -188.94  -21.44   -6.7   -24.12
 -128.64  -30.82   13.4   -65.66   10.72  -21.44    9.38]","[3.117049  3.195282  3.2259617 3.1277869 3.1415927 3.495942  3.2213597
 3.1553984 3.199884  3.417709  3.2366996 3.123185  3.339476  3.123185
 3.1707382 3.112447 ]","[ 0.          0.02398082  0.          0.02398082  0.          0.
 -0.04796165  0.02398082  0.          0.          0.          0.02398082
 -0.0959233   0.         -0.0959233   0.11990412]",pos,,start
1726085583.5863152,1726085583.0235448,"[  13.4   -21.44  -26.8    10.72  -16.08 -194.3   -21.44  -18.76  -25.46
 -129.98  -33.5    13.4   -68.34   10.72  -18.76   10.72]","[3.117049  3.195282  3.2228937 3.1277869 3.1415927 3.495942  3.2198257
 3.1553984 3.199884  3.417709  3.2351656 3.123185  3.3379421 3.123185
 3.1676702 3.113981 ]","[0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.         0.         0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726085583.667174,1726085583.0235448,"[  14.74  -20.1   -28.14   10.72  -17.42 -192.96  -21.44  -18.76  -24.12
 -128.64  -32.16   13.4   -72.36    9.38  -21.44   10.72]","[3.117049  3.195282  3.2228937 3.1293209 3.1415927 3.495942  3.2198257
 3.1553984 3.199884  3.417709  3.2351656 3.123185  3.3379421 3.123185
 3.1676702 3.113981 ]","[0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.         0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726085583.7466135,1726085583.0235448,"[  13.4   -20.1   -28.14   10.72  -17.42 -192.96  -21.44  -18.76  -24.12
 -128.64  -32.16   13.4   -72.36    9.38  -20.1    10.72]","[3.117049  3.195282  3.2228937 3.1277869 3.1415927 3.495942  3.2198257
 3.1553984 3.199884  3.417709  3.2351656 3.123185  3.3379421 3.123185
 3.1676702 3.113981 ]","[0.         0.02398082 0.         0.04796165 0.         0.
 0.         0.02398082 0.         0.         0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
