Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726092459.3408885,1726092459.3401577,"[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.   -10.72   0.     0.     0.     0.  ]","[3.0894372 4.0144277 3.83035   3.117049  3.204486  4.7446027 4.5191073
 3.2167578 3.2167578 4.733865  4.5114374 3.1461947 4.6510296 2.9728549
 3.9070492 2.4037478]","[-0.02398082 -0.6235014  -0.8872905   0.11990412 -0.04796165 -0.8393288
 -1.0791371  -0.04796165  0.02398082 -0.8633097  -1.0311754   0.02398082
 -1.223022    0.3836932  -1.0791371   0.93525213]",pos,,start
1726092459.4233701,1726092459.3401577,"[  14.74 -205.02  -52.26    8.04  -22.78 -408.7   -54.94  -16.08  -21.44
 -345.72  -77.72   -9.38 -210.38   12.06  -24.12   32.16]","[3.0971072 3.7858646 3.591049  3.126253  3.186078  4.31202   4.0405054
 3.19068   3.2136898 4.30435   4.0466413 3.1446607 4.1862335 3.043418
 3.6125247 2.6675925]","[ 0.14388494 -3.7889702  -3.3812962   0.02398082 -0.26378906 -7.4100747
 -7.4580364  -0.5035973  -0.07194247 -7.2901707  -6.9064775  -0.04796165
 -7.050362    0.8393288  -4.1966443   3.669066  ]",pos,,start
1726092459.5031903,1726092459.3401577,"[  16.08  -60.3   -26.8    12.06  -22.78 -127.3     0.    -16.08  -21.44
  -58.96    0.    -16.08  -45.56   13.4    -4.02   10.72]","[3.103243  3.51435   3.3808937 3.1277869 3.1707382 3.8196123 3.5741751
 3.1615343 3.2106218 3.7873986 3.577243  3.1446607 3.7199035 3.0879033
 3.351748  2.9022915]","[ 0.0959233  -2.7098331  -1.8465234   0.02398082 -0.11990412 -4.532376
 -4.36451    -0.23980825  0.         -5.0599537  -4.484414    0.02398082
 -4.4364524   0.407674   -2.1103125   2.2302167 ]",pos,,start
1726092459.582732,1726092459.3401577,"[  17.42  -41.54  -22.78   12.06  -22.78 -117.92  -12.06  -13.4   -21.44
  -73.7   -16.08   -8.04  -61.64   10.72  -17.42   13.4 ]","[3.103243  3.357884  3.279651  3.1277869 3.1630683 3.5726414 3.353282
 3.1538644 3.2106218 3.515884  3.351748  3.1431267 3.4821365 3.106311
 3.2428353 3.028078 ]","[ 0.         -1.3189453  -0.8393288   0.02398082 -0.04796165 -2.0143893
 -1.8225427   0.          0.         -2.0623507  -1.8225427   0.02398082
 -1.9424467   0.14388494 -0.91127133  1.0311754 ]",pos,,start
1726092459.6631029,1726092459.3401577,"[  17.42  -34.84  -22.78   13.4   -22.78 -127.3   -16.08  -16.08  -22.78
  -88.44  -22.78  -16.08  -61.64   13.4   -16.08   12.06]","[3.103243  3.2857869 3.2382333 3.1277869 3.1615343 3.4729326 3.2566411
 3.1538644 3.2106218 3.4146411 3.262777  3.1446607 3.3793597 3.107845
 3.192214  3.0802333]","[ 0.         -0.6235014  -0.3117507   0.02398082  0.         -0.6714631
 -0.7434055   0.          0.02398082 -0.7434055  -0.6235014   0.02398082
 -0.7673864   0.02398082 -0.35971236  0.43165484]",pos,,start
1726092459.742583,1726092459.3401577,"[  17.42  -42.88  -26.8    13.4   -22.78 -154.1   -16.08  -16.08  -22.78
 -112.56  -25.46  -16.08  -67.     13.4   -16.08   12.06]","[3.103243  3.267379  3.2259617 3.1293209 3.1600003 3.4545248 3.2244277
 3.1538644 3.2106218 3.3931656 3.2336316 3.1446607 3.342544  3.107845
 3.1722722 3.1017091]","[ 0.          0.          0.          0.02398082  0.          0.
 -0.16786577  0.          0.          0.         -0.11990412  0.02398082
 -0.23980825  0.02398082 -0.14388494  0.16786577]",pos,,start
1726092459.8224618,1726092459.3401577,"[  16.08  -44.22  -28.14   12.06  -20.1  -155.44  -20.1   -10.72  -22.78
 -113.9   -29.48  -16.08  -62.98   13.4   -17.42   10.72]","[3.103243  3.267379  3.2259617 3.1293209 3.1584663 3.4545248 3.2213597
 3.1553984 3.2106218 3.3931656 3.2320976 3.1446607 3.3333402 3.107845
 3.1661363 3.110913 ]","[ 0.          0.          0.          0.         -0.02398082  0.
  0.          0.02398082  0.02398082  0.02398082  0.          0.02398082
 -0.04796165  0.02398082  0.          0.11990412]",pos,,start
1726092459.9027288,1726092459.3401577,"[  17.42  -44.22  -28.14   12.06  -22.78 -154.1   -20.1    -2.68  -22.78
 -113.9   -30.82  -16.08  -72.36   13.4   -16.08   13.4 ]","[3.103243  3.267379  3.2259617 3.1293209 3.1584663 3.4545248 3.2198257
 3.1538644 3.2106218 3.3931656 3.2320976 3.1446607 3.3318062 3.110913
 3.1630683 3.112447 ]","[0.         0.         0.         0.         0.         0.
 0.02398082 0.         0.         0.02398082 0.         0.02398082
 0.         0.07194247 0.         0.02398082]",pos,,start
1726092460.0144424,1726092459.3401577,"[  16.08  -44.22  -26.8    10.72  -22.78 -155.44  -20.1   -16.08  -22.78
 -112.56  -30.82  -16.08  -72.36   12.06  -16.08   12.06]","[3.103243  3.267379  3.2259617 3.1293209 3.1584663 3.4545248 3.2198257
 3.1553984 3.2106218 3.3931656 3.2305636 3.1446607 3.3318062 3.110913
 3.1630683 3.112447 ]","[0.         0.02398082 0.         0.02398082 0.         0.
 0.02398082 0.         0.02398082 0.02398082 0.         0.02398082
 0.         0.02398082 0.         0.02398082]",pos,,start
1726092460.0945547,1726092459.3401577,"[  16.08  -44.22  -26.8    12.06  -22.78 -155.44  -21.44   -4.02  -21.44
 -113.9   -28.14  -16.08  -72.36   12.06  -16.08   13.4 ]","[3.103243  3.267379  3.2259617 3.1293209 3.1584663 3.4545248 3.2198257
 3.1538644 3.2106218 3.3931656 3.2320976 3.1446607 3.3318062 3.110913
 3.1630683 3.112447 ]","[0.         0.02398082 0.         0.         0.         0.
 0.02398082 0.02398082 0.02398082 0.02398082 0.         0.02398082
 0.         0.02398082 0.         0.02398082]",pos,,start
