Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726081631.797773,1726081631.796788,"[  0.   -20.1    0.     0.     0.    13.4    0.     0.    -4.02   0.
   0.     0.     1.34   0.     0.     0.  ]","[3.0894372 4.1632237 4.135612  2.9421751 3.1293209 4.9133406 4.532913
 3.181476  3.2305636 4.888797  4.420933  3.3118646 4.555923  3.037282
 3.8840394 2.5402722]","[ 0.02398082 -0.551559   -0.6474822   0.26378906  0.         -0.3836932
 -0.7434055   0.         -0.02398082 -0.45563567 -0.4796165  -0.11990412
 -0.6235014   0.21582742 -0.6474822   0.551559  ]",pos,,start
1726081631.878749,1726081631.796788,"[  14.74 -213.06  -76.38   16.08    9.38 -661.96  -75.04  -14.74  -22.78
 -558.78  -80.4   -18.76 -201.     12.06  -28.14   32.16]","[3.0955732 3.8779035 3.8058064 3.0188742 3.1308548 4.5006995 4.066583
 3.1676702 3.2228937 4.471554  4.0067577 3.2535732 4.129476  3.0817673
 3.6079228 2.7534955]","[ 0.11990412 -5.011992   -5.1798577   0.8633097   0.02398082 -7.673864
 -7.5059977  -0.407674   -0.16786577 -7.745806   -6.498803   -0.8393288
 -6.666669    0.5035973  -4.052759    2.9496412 ]",pos,,start
1726081631.9574947,1726081631.796788,"[  14.74   -8.04   -5.36   14.74   17.42 -171.52    0.     -6.7   -22.78
  -84.42    0.    -14.74  -48.24   12.06   -2.68   17.42]","[3.104777  3.512816  3.4667966 3.0802333 3.1277869 3.9315927 3.578777
 3.1538644 3.2136898 3.8794374 3.5573015 3.199884  3.6846218 3.106311
 3.347146  2.946777 ]","[ 0.04796165 -3.4532387  -3.0455647   0.6235014  -0.11990412 -5.395685
 -4.65228    -0.16786577 -0.11990412 -5.82734    -4.3165483  -0.551559
 -4.1486826   0.21582742 -2.1342933   1.8225427 ]",pos,,start
1726081632.0371587,1726081631.796788,"[  14.74  -28.14  -22.78   13.4    17.42 -123.28  -12.06  -14.74  -22.78
  -96.48  -20.1   -13.4   -52.26   12.06  -17.42   16.08]","[3.106311  3.34101   3.3133986 3.110913  3.126253  3.6278646 3.354816
 3.1523306 3.2090878 3.5726414 3.344078  3.1738062 3.4683306 3.115515
 3.2366996 3.044952 ]","[ 0.04796165 -1.3908877  -1.3429261   0.3117507   0.07194247 -2.6378906
 -1.8705043   0.02398082  0.         -2.5659482  -1.7506001  -0.16786577
 -1.774581    0.02398082 -0.9832138   0.8633097 ]",pos,,start
1726081632.1173773,1726081631.796788,"[  14.74  -37.52  -24.12   13.4    17.42 -125.96  -16.08  -16.08  -22.78
 -103.18  -26.8   -13.4   -60.3    12.06  -14.74   16.08]","[3.106311  3.2857869 3.2474372 3.126253  3.1277869 3.49901   3.262777
 3.1538644 3.2090878 3.4468548 3.262777  3.1661363 3.3778257 3.115515
 3.189146  3.0863693]","[ 0.02398082 -0.3117507  -0.5275781   0.11990412  0.02398082 -1.103118
 -0.7673864   0.02398082  0.         -1.103118   -0.6474822   0.
 -0.7434055   0.02398082 -0.3836932   0.407674  ]",pos,,start
1726081632.1972299,1726081631.796788,"[  14.74  -49.58  -25.46   13.4    14.74 -128.64  -17.42  -14.74  -24.12
  -99.16  -25.46  -14.74  -58.96   12.06  -16.08   16.08]","[3.106311  3.281185  3.2244277 3.1277869 3.126253  3.4499228 3.2274957
 3.1538644 3.2090878 3.3962336 3.2351656 3.1661363 3.342544  3.115515
 3.1707382 3.107845 ]","[ 0.02398082  0.         -0.11990412  0.02398082  0.02398082 -0.23980825
 -0.23980825  0.02398082  0.         -0.3117507  -0.14388494  0.
 -0.23980825  0.02398082 -0.14388494  0.16786577]",pos,,start
1726081632.277137,1726081631.796788,"[  14.74  -49.58  -26.8     2.68   14.74 -147.4   -22.78  -16.08  -22.78
 -112.56  -30.82  -16.08  -56.28   12.06  -16.08   17.42]","[3.106311  3.281185  3.2213597 3.1293209 3.1277869 3.4453208 3.2228937
 3.1538644 3.2090878 3.3916316 3.2305636 3.1661363 3.3318062 3.115515
 3.1630683 3.113981 ]","[ 0.02398082  0.          0.          0.04796165  0.          0.
  0.          0.02398082  0.          0.          0.          0.
 -0.0959233   0.02398082 -0.04796165  0.02398082]",pos,,start
1726081632.3576245,1726081631.796788,"[  14.74  -50.92  -26.8     6.7     6.7  -147.4   -22.78  -14.74  -22.78
 -112.56  -29.48  -13.4   -62.98   12.06  -16.08   17.42]","[3.106311  3.281185  3.2198257 3.1293209 3.126253  3.4453208 3.2228937
 3.1538644 3.2090878 3.3916316 3.2305636 3.1661363 3.3302722 3.115515
 3.1630683 3.113981 ]","[0.02398082 0.         0.02398082 0.         0.         0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726081632.437258,1726081631.796788,"[  14.74  -50.92  -25.46   12.06   18.76 -147.4   -21.44  -14.74  -22.78
 -112.56  -30.82  -14.74  -62.98   12.06  -17.42   17.42]","[3.106311  3.281185  3.2213597 3.1293209 3.1277869 3.4453208 3.2228937
 3.1538644 3.2090878 3.3916316 3.2305636 3.1661363 3.3302722 3.115515
 3.1630683 3.113981 ]","[0.02398082 0.         0.02398082 0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726081632.5172176,1726081631.796788,"[  14.74  -50.92  -26.8    13.4     5.36 -147.4   -22.78  -16.08  -22.78
 -112.56  -30.82  -14.74  -62.98   10.72  -17.42   16.08]","[3.106311  3.281185  3.2198257 3.1293209 3.126253  3.4453208 3.2228937
 3.1538644 3.2090878 3.3916316 3.2305636 3.1661363 3.3302722 3.115515
 3.1630683 3.113981 ]","[0.02398082 0.02398082 0.         0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726081632.597056,1726081631.796788,"[  14.74  -49.58  -26.8    13.4    14.74 -147.4   -22.78  -14.74  -22.78
 -112.56  -30.82  -14.74  -64.32   12.06  -16.08   17.42]","[3.106311  3.281185  3.2198257 3.1293209 3.1277869 3.4453208 3.2228937
 3.1538644 3.2090878 3.3916316 3.2305636 3.1661363 3.3302722 3.115515
 3.1630683 3.113981 ]","[0.         0.02398082 0.         0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726081632.677888,1726081631.796788,"[  16.08  -49.58  -28.14   13.4    17.42 -147.4   -22.78  -14.74  -24.12
 -111.22  -30.82  -14.74  -64.32   12.06  -16.08   17.42]","[3.106311  3.281185  3.2198257 3.1293209 3.1277869 3.4453208 3.2228937
 3.1538644 3.2090878 3.3916316 3.2305636 3.1661363 3.3302722 3.115515
 3.1630683 3.113981 ]","[0.         0.02398082 0.         0.02398082 0.02398082 0.
 0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726081632.7574878,1726081631.796788,"[  14.74  -46.9   -26.8    13.4    10.72 -148.74  -21.44  -14.74  -24.12
 -112.56  -30.82  -14.74  -62.98   12.06  -16.08   17.42]","[3.106311  3.281185  3.2198257 3.1293209 3.126253  3.4453208 3.2228937
 3.1538644 3.2090878 3.3916316 3.2305636 3.1661363 3.3302722 3.115515
 3.1630683 3.113981 ]","[0.         0.         0.         0.         0.02398082 0.
 0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
