Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726082314.044063,1726082314.0434113,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[3.1507967 4.698583  3.5741751 2.9222333 3.1692042 4.540583  3.911651
 3.8472238 3.1600003 4.6356897 3.6999617 3.9392626 4.6525636 3.0955732
 3.184544  3.4161751]","[-0.02398082 -1.1270987  -0.5275781   0.407674   -0.02398082 -0.8633097
 -0.7673864  -0.7913672   0.         -1.0311754  -0.407674   -0.8872905
 -1.1990412   0.11990412 -0.04796165 -0.43165484]",pos,,start
1726082314.1264036,1726082314.0434113,"[ -12.06 -430.14  -49.58   16.08  -18.76 -284.08  -37.52  -20.1   -13.4
 -250.58  -33.5   -30.82 -191.62   12.06  -16.08  -20.1 ]","[3.1477287 4.2874765 3.434583  3.0112042 3.1646023 4.15402   3.6401365
 3.577243  3.1584663 4.215379  3.508214  3.6493404 4.1969714 3.106311
 3.1676702 3.3087966]","[ 0.0959233  -6.9064775  -2.1582742   0.91127133 -0.0959233  -6.7146306
 -4.0287786  -3.7410085   0.         -6.9064775  -2.877699   -4.220625
 -7.242209    0.1918466  -0.26378906 -1.4148686 ]",pos,,start
1726082314.2055259,1726082314.0434113,"[  -1.34 -109.88  -21.44   13.4   -18.76  -57.62  -10.72  -12.06  -17.42
  -57.62  -16.08   -6.7   -49.58   10.72  -13.4   -16.08]","[3.1446607 3.7920005 3.2965248 3.0771654 3.1630683 3.6907578 3.3870296
 3.347146  3.1584663 3.7245054 3.3272042 3.3808937 3.7060976 3.118583
 3.1523306 3.2213597]","[-0.0959233  -4.484414   -1.223022    0.6235014   0.         -4.412472
 -2.206236   -2.0863316   0.         -4.65228    -1.5827343  -2.3980825
 -4.412472    0.0959233  -0.02398082 -0.7434055 ]",pos,,start
1726082314.285714,1726082314.0434113,"[   0.   -113.9   -22.78   12.06  -17.42  -64.32  -17.42  -17.42  -17.42
  -75.04  -20.1   -13.4   -57.62    8.04  -16.08  -17.42]","[3.1400588 3.5511656 3.2351656 3.110913  3.1584663 3.4637287 3.273515
 3.2397673 3.1584663 3.4867384 3.2474372 3.2551072 3.4821365 3.121651
 3.1538644 3.18301  ]","[-0.02398082 -2.0383701  -0.43165484  0.35971236 -0.04796165 -1.8705043
 -0.93525213 -0.959233    0.         -1.918466   -0.57553977 -1.0311754
 -1.918466    0.          0.         -0.35971236]",pos,,start
1726082314.3670535,1726082314.0434113,"[   2.68 -103.18  -24.12    8.04  -17.42  -60.3   -18.76  -16.08  -17.42
  -76.38  -22.78  -14.74  -60.3     2.68  -14.74  -16.08]","[3.1400588 3.4499228 3.2167578 3.126253  3.1569324 3.3732238 3.2305636
 3.192214  3.1584663 3.3916316 3.2213597 3.204486  3.3870296 3.123185
 3.1492627 3.1615343]","[-0.02398082 -0.8393288  -0.0959233   0.14388494 -0.02398082 -0.69544387
 -0.28776988 -0.3836932   0.         -0.6714631  -0.14388494 -0.43165484
 -0.7434055   0.04796165  0.04796165 -0.14388494]",pos,,start
1726082314.4452066,1726082314.0434113,"[   0.   -132.66  -24.12   13.4   -18.76  -73.7   -20.1   -16.08  -17.42
  -84.42  -25.46  -14.74  -62.98    8.04  -14.74  -17.42]","[3.1400588 3.426913  3.2136898 3.1277869 3.1569324 3.34868   3.2198257
 3.1722722 3.1584663 3.3686218 3.2167578 3.181476  3.351748  3.121651
 3.1507967 3.1538644]","[ 0.          0.          0.          0.02398082  0.          0.
 -0.04796165 -0.11990412  0.         -0.04796165  0.         -0.1918466
 -0.23980825  0.02398082  0.02398082 -0.04796165]",pos,,start
1726082314.5255582,1726082314.0434113,"[   0.   -136.68  -25.46   12.06  -18.76  -73.7   -21.44  -16.08  -16.08
  -96.48  -25.46  -16.08  -65.66   12.06  -14.74  -10.72]","[3.1400588 3.426913  3.2136898 3.1277869 3.1569324 3.34868   3.2198257
 3.1676702 3.1584663 3.3670878 3.2167578 3.1738062 3.34101   3.123185
 3.1507967 3.1523306]","[ 0.          0.          0.02398082  0.          0.          0.
  0.         -0.02398082  0.          0.          0.         -0.02398082
 -0.0959233   0.02398082  0.02398082 -0.02398082]",pos,,start
1726082314.605173,1726082314.0434113,"[   0.   -136.68  -24.12   12.06  -18.76  -73.7   -21.44  -16.08  -17.42
  -96.48  -26.8   -14.74  -67.      9.38  -14.74  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1661363 3.1584663 3.3670878 3.2167578 3.1676702 3.3379421 3.123185
 3.1507967 3.1523306]","[ 0.          0.          0.          0.02398082  0.          0.02398082
  0.02398082  0.          0.          0.02398082  0.          0.
  0.          0.04796165  0.02398082 -0.04796165]",pos,,start
1726082314.7196364,1726082314.0434113,"[   0.   -136.68  -24.12   12.06  -18.76  -75.04  -21.44  -17.42  -17.42
  -96.48  -26.8   -14.74  -67.      9.38  -14.74  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.347146  3.2198257
 3.1661363 3.1584663 3.3670878 3.2167578 3.1676702 3.3379421 3.123185
 3.1507967 3.1477287]","[0.02398082 0.         0.         0.02398082 0.         0.
 0.         0.         0.         0.02398082 0.         0.
 0.         0.02398082 0.02398082 0.        ]",pos,,start
1726082314.829358,1726082314.0434113,"[   0.   -136.68  -24.12   13.4   -18.76  -75.04  -21.44  -16.08  -17.42
  -95.14  -25.46  -14.74  -68.34    6.7   -16.08  -14.74]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1646023 3.1584663 3.3670878 3.2167578 3.1676702 3.3379421 3.123185
 3.1507967 3.1477287]","[0.02398082 0.         0.         0.02398082 0.         0.02398082
 0.02398082 0.         0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726082314.9093013,1726082314.0434113,"[   0.   -138.02  -25.46   13.4   -18.76  -76.38  -21.44  -17.42  -17.42
  -96.48  -25.46  -14.74  -67.      9.38  -14.74  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.347146  3.2198257
 3.1661363 3.1584663 3.3670878 3.2167578 3.1676702 3.3379421 3.123185
 3.1507967 3.1477287]","[0.02398082 0.         0.         0.02398082 0.         0.02398082
 0.02398082 0.         0.         0.02398082 0.         0.
 0.         0.         0.02398082 0.        ]",pos,,start
1726082314.9892547,1726082314.0434113,"[   0.   -138.02  -24.12   12.06  -18.76  -79.06  -22.78  -17.42  -17.42
  -97.82  -25.46  -14.74  -64.32    9.38  -16.08  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1661363 3.1584663 3.3686218 3.2167578 3.1676702 3.3379421 3.123185
 3.1507967 3.1477287]","[0.         0.         0.         0.02398082 0.         0.
 0.         0.         0.         0.04796165 0.         0.
 0.         0.02398082 0.02398082 0.        ]",pos,,start
1726082315.0696578,1726082314.0434113,"[   0.   -139.36  -24.12   12.06  -18.76  -76.38  -21.44  -16.08  -17.42
  -97.82  -26.8   -14.74  -61.64   10.72  -14.74  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.347146  3.2198257
 3.1661363 3.1584663 3.3670878 3.2167578 3.1676702 3.3379421 3.123185
 3.1507967 3.1477287]","[0.02398082 0.         0.         0.02398082 0.         0.02398082
 0.         0.         0.         0.02398082 0.         0.
 0.         0.         0.02398082 0.        ]",pos,,start
1726082315.1505651,1726082314.0434113,"[   0.   -138.02  -24.12   12.06  -18.76  -76.38  -20.1   -16.08  -17.42
  -93.8   -26.8   -14.74  -57.62   10.72  -14.74  -17.42]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.347146  3.2198257
 3.1646023 3.1584663 3.3686218 3.2167578 3.1676702 3.3348742 3.123185
 3.1507967 3.1477287]","[ 0.02398082  0.          0.          0.02398082  0.          0.02398082
  0.02398082  0.          0.          0.02398082  0.          0.
 -0.07194247  0.          0.02398082  0.        ]",pos,,start
1726082315.2294044,1726082314.0434113,"[   0.   -138.02  -25.46   13.4   -18.76  -77.72  -20.1   -17.42  -17.42
  -97.82  -26.8   -14.74  -64.32    2.68  -14.74  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1646023 3.1584663 3.3670878 3.2167578 3.1676702 3.3318062 3.123185
 3.1507967 3.1477287]","[0.         0.         0.         0.02398082 0.         0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.        ]",pos,,start
1726082315.3094573,1726082314.0434113,"[   0.   -138.02  -25.46   12.06  -18.76  -75.04  -21.44  -17.42  -16.08
  -97.82  -26.8   -14.74  -65.66   10.72  -14.74  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1661363 3.1584663 3.3686218 3.2167578 3.1676702 3.3318062 3.123185
 3.1507967 3.1477287]","[0.02398082 0.         0.         0.02398082 0.         0.
 0.02398082 0.         0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.        ]",pos,,start
1726082315.3891249,1726082314.0434113,"[   0.   -138.02  -24.12   13.4   -18.76  -77.72  -21.44  -17.42  -16.08
  -97.82  -25.46  -14.74  -65.66    6.7   -16.08  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1661363 3.1584663 3.3686218 3.2167578 3.1676702 3.3318062 3.123185
 3.1507967 3.1477287]","[0.         0.         0.         0.02398082 0.         0.02398082
 0.         0.04796165 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.        ]",pos,,start
1726082315.469553,1726082314.0434113,"[   0.   -138.02  -24.12   13.4   -17.42  -77.72  -21.44  -17.42  -17.42
  -95.14  -26.8   -14.74  -64.32   10.72  -14.74  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.347146  3.2198257
 3.1646023 3.1584663 3.3686218 3.2167578 3.1676702 3.3318062 3.123185
 3.1507967 3.1477287]","[ 0.          0.          0.          0.02398082  0.         -0.02398082
  0.02398082  0.          0.          0.02398082  0.          0.
  0.          0.          0.02398082  0.        ]",pos,,start
1726082315.549789,1726082314.0434113,"[   0.   -138.02  -25.46   13.4   -18.76  -79.06  -21.44  -16.08  -17.42
  -96.48  -25.46  -14.74  -64.32    9.38  -16.08  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1646023 3.1584663 3.3686218 3.2167578 3.1676702 3.3318062 3.123185
 3.1507967 3.1477287]","[0.         0.         0.         0.02398082 0.         0.02398082
 0.02398082 0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.02398082 0.        ]",pos,,start
1726082315.6292195,1726082314.0434113,"[   0.   -138.02  -25.46    8.04  -18.76  -76.38  -21.44  -17.42  -18.76
  -93.8   -26.8   -14.74  -64.32    8.04  -16.08  -16.08]","[3.1400588 3.426913  3.2136898 3.1293209 3.1569324 3.34868   3.2198257
 3.1646023 3.1584663 3.3670878 3.2167578 3.1676702 3.3318062 3.123185
 3.1507967 3.1477287]","[0.         0.         0.         0.02398082 0.         0.02398082
 0.02398082 0.02398082 0.         0.02398082 0.         0.
 0.         0.02398082 0.02398082 0.        ]",pos,,start
