Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726071230.7448385,1726071230.7439437,"[-2.68  0.    0.    0.    0.    0.    0.    0.    0.    0.   -1.34  0.
  0.    2.68  0.    0.  ]","[3.5296898 4.732331  3.5741751 3.6953597 3.3164666 4.31202   3.1538644
 3.2428353 3.3287382 4.706253  2.9391072 3.2413013 4.4884276 3.204486
 3.7674568 2.876214 ]","[-0.28776988 -0.8393288  -0.407674   -0.7194247  -0.0959233  -0.7434055
  0.07194247 -0.14388494 -0.16786577 -0.6714631   0.33573154 -0.11990412
 -0.7194247   0.02398082 -0.7913672   0.407674  ]",pos,,start
1726071230.825401,1726071230.7439437,"[ -54.94 -635.16  -76.38  -42.88  -29.48 -261.3    -9.38  -22.78  -24.12
 -462.3    10.72  -18.76 -231.82  -17.42  -36.18   18.76]","[3.4483888 4.3657093 3.4575927 3.502078  3.271981  3.9776123 3.1553984
 3.2136898 3.282719  4.299748  3.035748  3.2152238 4.081923  3.196816
 3.5373597 2.9759228]","[-1.1270987  -6.0911293  -1.8465234  -2.7098331  -0.5995206  -5.587532
 -0.07194247 -0.4796165  -0.7673864  -6.954439    0.93525213 -0.43165484
 -6.3309374  -0.3117507  -3.525181    1.223022  ]",pos,,start
1726071230.9049582,1726071230.7439437,"[ -17.42 -138.02  -17.42  -10.72  -25.46   -5.36  -10.72  -18.76  -17.42
  -67.     16.08  -16.08  -42.88  -13.4    -9.38   16.08]","[3.2995927 3.745981  3.270447  3.270447  3.2090878 3.4560587 3.1538644
 3.1722722 3.2274957 3.6186607 3.112447  3.1768742 3.5342917 3.1692042
 3.268913  3.0771654]","[-1.0311754  -3.669066   -1.0791371  -1.2949644  -0.407674   -3.0455647
  0.         -0.21582742 -0.26378906 -3.956836    0.5275781  -0.21582742
 -2.9496412  -0.16786577 -1.2949644   0.5995206 ]",pos,,start
1726071231.0170007,1726071230.7439437,"[ -18.76 -166.16  -21.44  -16.08  -25.46  -26.8    -9.38  -20.1   -24.12
  -71.02    9.38  -14.74  -57.62  -12.06  -17.42   10.72]","[3.2459033 3.5726414 3.2228937 3.2075539 3.189146  3.3133986 3.1553984
 3.1630683 3.2228937 3.4437869 3.1308548 3.1676702 3.4039035 3.1615343
 3.2106218 3.104777 ]","[-0.45563567 -1.4148686  -0.35971236 -0.57553977 -0.16786577 -1.2470028
  0.         -0.04796165  0.         -1.4388494   0.1918466  -0.07194247
 -1.0551562  -0.04796165 -0.5275781   0.23980825]",pos,,start
1726071231.0969837,1726071230.7439437,"[ -17.42 -179.56  -25.46  -14.74  -24.12  -36.18  -10.72  -20.1   -22.78
  -89.78   13.4   -14.74  -54.94  -12.06  -17.42   13.4 ]","[3.2228937 3.518952  3.2106218 3.1784081 3.181476  3.264311  3.1553984
 3.1600003 3.2228937 3.3900976 3.1385248 3.1661363 3.354816  3.1615343
 3.186078  3.117049 ]","[-0.21582742 -0.35971236  0.         -0.23980825 -0.0959233  -0.3117507
  0.02398082 -0.04796165  0.02398082 -0.26378906  0.07194247  0.02398082
 -0.407674    0.         -0.16786577  0.14388494]",pos,,start
1726071231.1769483,1726071230.7439437,"[ -17.42 -196.98  -25.46  -14.74  -24.12  -38.86   -9.38  -18.76  -22.78
 -104.52    0.    -13.4   -56.28  -13.4   -16.08   13.4 ]","[3.2090878 3.50668   3.2121558 3.1661363 3.1799421 3.2566411 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3364081 3.1600003
 3.1753402 3.121651 ]","[-0.0959233   0.          0.02398082 -0.0959233   0.          0.
  0.02398082  0.          0.02398082  0.          0.02398082  0.
 -0.11990412  0.         -0.04796165  0.02398082]",pos,,start
1726071231.256621,1726071230.7439437,"[ -18.76 -196.98  -24.12  -14.74  -24.12  -38.86   -9.38  -20.1   -22.78
 -101.84    0.    -14.74  -58.96  -12.06  -17.42   12.06]","[3.204486  3.508214  3.2106218 3.1615343 3.1784081 3.2566411 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[-0.02398082  0.02398082  0.02398082 -0.04796165  0.          0.
  0.02398082  0.          0.          0.          0.02398082  0.
  0.          0.          0.          0.02398082]",pos,,start
1726071231.3370454,1726071230.7439437,"[ -18.76 -196.98  -25.46  -14.74  -25.46  -38.86   -9.38  -20.1   -22.78
 -100.5     0.    -14.74  -62.98  -12.06  -18.76   12.06]","[3.201418  3.50668   3.2106218 3.1600003 3.1784081 3.2566411 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3287382 3.1584663
 3.1753402 3.126253 ]","[ 0.          0.02398082  0.          0.         -0.02398082  0.
  0.02398082  0.          0.02398082  0.02398082  0.02398082  0.
  0.02398082  0.          0.          0.02398082]",pos,,start
1726071231.4173222,1726071230.7439437,"[ -18.76 -196.98  -25.46  -13.4   -24.12  -38.86   -9.38  -20.1   -22.78
 -100.5     0.    -14.74  -60.3   -12.06  -18.76   13.4 ]","[3.201418  3.50668   3.2106218 3.1600003 3.1768742 3.2566411 3.1553984
 3.1584663 3.2213597 3.3854957 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[0.         0.02398082 0.         0.         0.         0.
 0.02398082 0.         0.02398082 0.02398082 0.02398082 0.
 0.02398082 0.         0.         0.        ]",pos,,start
1726071231.497013,1726071230.7439437,"[ -18.76 -195.64  -25.46  -14.74  -24.12  -38.86   -9.38  -20.1   -22.78
 -101.84    0.    -14.74  -62.98  -12.06  -18.76   13.4 ]","[3.201418  3.50668   3.2106218 3.1600003 3.1768742 3.2566411 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[0.         0.         0.02398082 0.         0.         0.
 0.02398082 0.         0.02398082 0.         0.02398082 0.
 0.         0.         0.         0.02398082]",pos,,start
1726071231.5769513,1726071230.7439437,"[ -18.76 -196.98  -25.46  -14.74  -24.12  -38.86   -9.38  -20.1   -22.78
 -101.84    0.    -14.74  -62.98  -12.06  -17.42   12.06]","[3.199884  3.50668   3.2121558 3.1600003 3.1738062 3.2566411 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[-0.02398082  0.02398082  0.02398082  0.         -0.04796165  0.
  0.02398082  0.          0.02398082  0.02398082  0.02398082  0.
  0.02398082  0.          0.          0.02398082]",pos,,start
1726071231.6569448,1726071230.7439437,"[ -18.76 -196.98  -25.46  -14.74  -24.12  -38.86   -9.38  -20.1   -22.78
 -101.84    0.    -14.74  -61.64  -12.06  -17.42   12.06]","[3.196816  3.508214  3.2106218 3.1600003 3.1738062 3.2566411 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[-0.02398082  0.02398082  0.02398082  0.          0.          0.
  0.02398082  0.          0.          0.          0.02398082  0.02398082
  0.02398082  0.02398082  0.          0.02398082]",pos,,start
1726071231.7376125,1726071230.7439437,"[ -17.42 -198.32  -24.12  -14.74  -24.12  -40.2    -9.38  -20.1   -22.78
 -103.18    0.    -14.74  -61.64  -12.06  -17.42   12.06]","[3.196816  3.50668   3.2121558 3.1600003 3.1738062 3.2566411 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[0.         0.02398082 0.02398082 0.         0.         0.
 0.02398082 0.         0.02398082 0.02398082 0.02398082 0.
 0.02398082 0.02398082 0.         0.02398082]",pos,,start
1726071231.8178906,1726071230.7439437,"[ -17.42 -198.32  -25.46  -14.74  -24.12  -41.54   -8.04  -20.1   -22.78
 -101.84    0.    -14.74  -62.98   -5.36  -18.76   12.06]","[3.196816  3.50668   3.2106218 3.1600003 3.1738062 3.2581751 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[0.         0.         0.02398082 0.         0.         0.04796165
 0.02398082 0.         0.         0.02398082 0.02398082 0.
 0.02398082 0.         0.         0.02398082]",pos,,start
1726071231.8970091,1726071230.7439437,"[ -18.76 -202.34  -24.12  -14.74  -24.12  -40.2    -9.38  -20.1   -22.78
 -101.84    0.    -14.74  -64.32  -10.72  -18.76   13.4 ]","[3.196816  3.508214  3.2121558 3.1600003 3.1738062 3.2581751 3.1553984
 3.1584663 3.2213597 3.3870296 3.1385248 3.1661363 3.3302722 3.1584663
 3.1753402 3.126253 ]","[0.         0.02398082 0.02398082 0.         0.         0.
 0.02398082 0.         0.         0.02398082 0.02398082 0.02398082
 0.02398082 0.         0.         0.02398082]",pos,,start
