Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726089170.2345378,1726089170.233738,"[  0.   -16.08 -14.74 -10.72   0.     0.     0.     0.   -13.4    0.
   0.     0.   -13.4   10.72  18.76  -9.38]","[3.1477287 4.135612  3.7153015 3.0541558 3.1753402 4.862719  4.709321
 3.0786994 3.2075539 4.8320394 4.687845  3.1339228 4.5820007 3.103243
 3.6815538 2.5418062]","[-0.02398082 -0.91127133 -0.7194247   0.21582742 -0.04796165 -0.815348
 -1.2709837   0.14388494  0.         -0.8872905  -1.0791371   0.02398082
 -1.2470028   0.1918466  -0.8872905   0.8393288 ]",pos,,start
1726089170.3175561,1726089170.233738,"[ -13.4  -182.24  -49.58   13.4   -18.76 -499.82  -68.34   20.1   -21.44
 -395.3  -100.5    12.06 -180.9    10.72  -34.84   28.14]","[3.1461947 3.833418  3.508214  3.0925052 3.1646023 4.391787  4.160156
 3.1017091 3.202952  4.3565054 4.15402   3.1339228 4.1141367 3.118583
 3.4667966 2.7688353]","[-0.04796165 -4.7002416  -2.877699    0.33573154 -0.1918466  -7.673864
 -8.537173    0.16786577 -0.07194247 -7.649883   -7.913672   -0.04796165
 -6.810554    0.14388494 -3.0695455   2.973622  ]",pos,,start
1726089170.3978198,1726089170.233738,"[ -12.06  -10.72  -18.76   13.4    -9.38 -112.56    0.     20.1   -21.44
  -40.2     0.     12.06  -41.54   10.72  -14.74   16.08]","[3.1431267 3.49901   3.3348742 3.115515  3.1569324 3.8779035 3.6309326
 3.115515  3.199884  3.8226802 3.6340005 3.1339228 3.6846218 3.124719
 3.2934568 2.951379 ]","[-0.02398082 -3.3333344  -1.6067152   0.28776988 -0.0959233  -5.1798577
 -5.011992    0.14388494  0.         -5.563551   -4.8681073   0.
 -4.1966443   0.07194247 -1.4148686   1.7506001 ]",pos,,start
1726089170.476877,1726089170.233738,"[ -13.4   -26.8   -22.78   13.4   -17.42 -120.6    -6.7    18.76  -22.78
  -77.72  -13.4    12.06  -56.28   10.72  -21.44   14.74]","[3.1431267 3.3287382 3.2489712 3.126253  3.1507967 3.594117  3.3732238
 3.123185  3.19835   3.5281558 3.3716898 3.1339228 3.4637287 3.124719
 3.2228937 3.0510879]","[ 0.         -1.3189453  -0.69544387  0.02398082 -0.02398082 -2.3741016
 -2.1342933   0.07194247  0.         -2.32614    -2.206236    0.
 -1.7506001   0.         -0.551559    0.8393288 ]",pos,,start
1726089170.5565453,1726089170.233738,"[ -13.4   -40.2   -22.78   12.06  -17.42 -139.36  -18.76   14.74  -21.44
  -99.16  -24.12   12.06  -68.34   10.72  -18.76   14.74]","[3.1431267 3.278117  3.2182918 3.1277869 3.1477287 3.4898062 3.268913
 3.1323888 3.19835   3.425379  3.273515  3.1354568 3.3808937 3.124719
 3.187612  3.0909712]","[ 0.         -0.23980825 -0.1918466   0.02398082  0.         -0.7194247
 -0.815348    0.0959233   0.         -0.7194247  -0.7194247   0.02398082
 -0.6474822   0.02398082 -0.3117507   0.35971236]",pos,,start
1726089170.636662,1726089170.233738,"[ -12.06  -44.22  -25.46   13.4   -17.42 -148.74  -20.1    17.42  -22.78
 -109.88  -26.8    12.06  -65.66   12.06  -21.44   14.74]","[3.1431267 3.275049  3.2136898 3.1277869 3.1477287 3.4652627 3.2290297
 3.1339228 3.19835   3.3962336 3.2413013 3.1354568 3.34868   3.124719
 3.1738062 3.109379 ]","[-0.02398082  0.          0.          0.02398082  0.         -0.02398082
 -0.28776988  0.02398082  0.         -0.07194247 -0.1918466   0.02398082
 -0.1918466   0.         -0.04796165  0.16786577]",pos,,start
1726089170.7168374,1726089170.233738,"[   1.34  -45.56  -26.8     2.68  -17.42 -164.82  -22.78   17.42  -22.78
 -117.92  -30.82   12.06  -64.32   10.72  -21.44   14.74]","[3.1431267 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2228937
 3.1339228 3.19835   3.3977675 3.2351656 3.1354568 3.3379421 3.124719
 3.1692042 3.112447 ]","[ 0.02398082  0.02398082  0.          0.02398082  0.          0.
  0.          0.          0.          0.          0.          0.02398082
 -0.07194247  0.         -0.04796165  0.02398082]",pos,,start
1726089170.799408,1726089170.233738,"[ -12.06  -44.22  -25.46   12.06  -18.76 -163.48  -22.78   18.76  -22.78
 -117.92  -30.82   12.06  -75.04   10.72  -20.1    14.74]","[3.1431267 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2213597
 3.1339228 3.19835   3.3962336 3.2351656 3.1354568 3.3379421 3.124719
 3.1676702 3.112447 ]","[-0.02398082  0.02398082  0.          0.          0.          0.
 -0.02398082  0.02398082  0.         -0.02398082  0.          0.02398082
  0.          0.          0.          0.02398082]",pos,,start
1726089170.8768816,1726089170.233738,"[   0.    -44.22  -25.46   12.06  -17.42 -164.82  -22.78   17.42  -22.78
 -116.58  -30.82   10.72  -75.04   12.06  -20.1    16.08]","[3.1400588 3.273515  3.2136898 3.1293209 3.1477287 3.4637287 3.2213597
 3.1339228 3.19835   3.3962336 3.2336316 3.1354568 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.02398082 0.04796165 0.         0.         0.         0.02398082
 0.         0.02398082 0.         0.         0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726089170.9567535,1726089170.233738,"[  -8.04  -46.9   -26.8    12.06  -18.76 -167.5   -21.44   17.42  -21.44
 -113.9   -30.82   12.06  -76.38   10.72  -20.1    16.08]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2198257
 3.1354568 3.19835   3.3977675 3.2351656 3.1354568 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.02398082 0.02398082 0.         0.         0.         0.02398082
 0.02398082 0.         0.         0.         0.04796165 0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726089171.0367296,1726089170.233738,"[   0.    -45.56  -25.46   12.06  -17.42 -164.82  -21.44   10.72  -21.44
 -117.92  -33.5     4.02  -76.38   10.72  -20.1    16.08]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2198257
 3.1354568 3.19835   3.3977675 3.2351656 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.02398082 0.         0.         0.02398082 0.         0.02398082
 0.         0.02398082 0.         0.         0.02398082 0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726089171.1170764,1726089170.233738,"[  -4.02  -46.9   -25.46   13.4   -17.42 -164.82  -20.1    14.74  -22.78
 -115.24  -30.82    8.04  -76.38   10.72  -21.44   16.08]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2182918
 3.1339228 3.19835   3.3962336 3.2336316 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.02398082 0.02398082 0.         0.02398082 0.         0.
 0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.         0.         0.02398082]",pos,,start
1726089171.1976733,1726089170.233738,"[   0.    -46.9   -25.46   13.4   -17.42 -164.82  -20.1     5.36  -21.44
 -119.26  -29.48   10.72  -76.38   10.72  -20.1    14.74]","[3.1431267 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2198257
 3.1339228 3.19835   3.3962336 3.2336316 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.         0.02398082 0.         0.02398082 0.         0.
 0.02398082 0.         0.         0.         0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726089171.276802,1726089170.233738,"[   0.    -45.56  -26.8    12.06  -17.42 -164.82  -22.78   16.08  -22.78
 -120.6   -29.48   12.06  -76.38   10.72  -20.1    14.74]","[3.1431267 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2198257
 3.1339228 3.19835   3.3962336 3.2336316 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.         0.02398082 0.         0.02398082 0.         0.02398082
 0.         0.         0.         0.         0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726089171.3567653,1726089170.233738,"[   0.    -46.9   -24.12   12.06  -18.76 -166.16  -20.1    17.42  -22.78
 -115.24  -29.48   12.06  -76.38   10.72  -21.44   14.74]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2182918
 3.1354568 3.19835   3.3962336 3.2320976 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[ 0.02398082  0.02398082  0.          0.02398082  0.          0.
 -0.02398082  0.02398082  0.          0.02398082  0.          0.
  0.          0.          0.          0.02398082]",pos,,start
1726089171.4367132,1726089170.233738,"[   0.    -46.9   -24.12   12.06  -17.42 -164.82  -20.1    17.42  -22.78
 -119.26  -32.16    9.38  -76.38   12.06  -20.1    16.08]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2152238
 3.1339228 3.19835   3.3962336 3.2320976 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.         0.         0.         0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726089171.5168657,1726089170.233738,"[   0.    -45.56  -25.46   10.72  -17.42 -164.82  -21.44   17.42  -21.44
 -117.92  -29.48    8.04  -77.72   10.72  -20.1    16.08]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2152238
 3.1354568 3.19835   3.3962336 3.2320976 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.         0.         0.         0.02398082 0.         0.02398082
 0.         0.02398082 0.         0.02398082 0.         0.02398082
 0.         0.         0.         0.02398082]",pos,,start
1726089171.6296294,1726089170.233738,"[   0.    -45.56  -25.46   13.4   -17.42 -164.82  -20.1     4.02  -22.78
 -117.92  -29.48   10.72  -75.04   10.72  -21.44   16.08]","[3.1431267 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2152238
 3.1354568 3.19835   3.3962336 3.2305636 3.1369908 3.3379421 3.124719
 3.1676702 3.113981 ]","[0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.02398082 0.         0.         0.02398082 0.
 0.         0.         0.         0.02398082]",pos,,start
1726089171.70876,1726089170.233738,"[  -9.38  -46.9   -25.46   13.4   -17.42 -163.48  -20.1     8.04  -21.44
 -117.92  -30.82   10.72  -75.04   10.72  -20.1    14.74]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2152238
 3.1339228 3.19835   3.3962336 3.2305636 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.         0.02398082 0.         0.         0.         0.
 0.         0.02398082 0.         0.         0.         0.02398082
 0.         0.         0.         0.        ]",pos,,start
1726089171.78908,1726089170.233738,"[   0.    -46.9   -25.46   12.06  -17.42 -166.16  -20.1    10.72  -22.78
 -117.92  -30.82   10.72  -75.04   10.72  -18.76   16.08]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2152238
 3.1354568 3.19835   3.3977675 3.2305636 3.1369908 3.3379421 3.124719
 3.1676702 3.112447 ]","[0.         0.02398082 0.         0.02398082 0.         0.02398082
 0.02398082 0.04796165 0.         0.02398082 0.         0.02398082
 0.         0.         0.         0.        ]",pos,,start
1726089171.8686314,1726089170.233738,"[   0.    -48.24  -25.46   12.06  -17.42 -164.82  -21.44   12.06  -22.78
 -113.9   -30.82   10.72  -76.38   12.06  -18.76   14.74]","[3.1400588 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2152238
 3.1339228 3.19835   3.3962336 3.2305636 3.1369908 3.3379421 3.124719
 3.1661363 3.112447 ]","[ 0.02398082  0.02398082  0.          0.02398082  0.          0.02398082
  0.          0.02398082  0.          0.02398082  0.          0.02398082
  0.          0.         -0.02398082  0.02398082]",pos,,start
1726089171.9492788,1726089170.233738,"[  -4.02  -46.9   -25.46   12.06  -17.42 -163.48  -20.1    16.08  -22.78
 -113.9   -29.48    6.7   -76.38   10.72  -20.1    14.74]","[3.1431267 3.275049  3.2136898 3.1293209 3.1477287 3.4652627 3.2167578
 3.1339228 3.19835   3.3962336 3.2305636 3.1369908 3.3379421 3.124719
 3.1646023 3.112447 ]","[0.         0.02398082 0.         0.         0.         0.
 0.02398082 0.02398082 0.         0.         0.02398082 0.02398082
 0.         0.         0.         0.        ]",pos,,start
