Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726075145.9401078,1726075145.9392846,"[ 0.    0.    0.    0.    0.    1.34  0.    0.    0.    0.    0.   -2.68
  0.   -1.34  0.    0.  ]","[3.113981  2.9329712 4.1739616 2.8209906 3.1277869 4.8243694 4.7706804
 3.2121558 3.2106218 4.884195  4.539049  3.2934568 4.529845  3.1615343
 3.9024472 2.4221556]","[ 0.02398082  0.35971236 -0.8872905   0.5275781  -0.02398082 -0.57553977
 -0.93525213 -0.02398082  0.         -0.57553977 -0.7673864  -0.07194247
 -0.7673864   0.07194247 -0.8393288   0.7194247 ]",pos,,start
1726075146.0238485,1726075145.9392846,"[  13.4     8.04  -72.36   17.42   16.08 -412.72  -88.44  -18.76  -21.44
 -418.08  -75.04  -21.44 -175.54  -12.06  -29.48   29.48]","[3.117049  3.0510879 3.8119423 2.949845  3.1308548 4.3687773 4.230719
 3.187612  3.2075539 4.419399  4.058913  3.2397673 4.092661  3.1584663
 3.6125247 2.6875343]","[ 0.04796165  1.2949644  -5.203839    1.5827343   0.         -7.769787
 -8.872905   -0.5035973  -0.07194247 -8.201442   -7.2661896  -0.7913672
 -6.618707   -0.07194247 -4.172663    3.669066  ]",pos,,start
1726075146.1011307,1726075145.9392846,"[  13.4    14.74  -21.44   13.4    16.08 -132.66    0.    -16.08  -20.1
  -38.86    0.    -18.76  -38.86  -12.06   -5.36   12.06]","[3.117049  3.120117  3.4913402 3.0495539 3.124719  3.8579617 3.6554763
 3.1584663 3.199884  3.833418  3.578777  3.192214  3.658544  3.1569324
 3.354816  2.9145634]","[ 0.02398082  0.5275781  -3.0215838   0.91127133  0.04796165 -4.724222
 -5.395685   -0.21582742 -0.02398082 -5.7793784  -4.484414   -0.4796165
 -4.0047975   0.         -2.2302167   2.182255  ]",pos,,start
1726075146.1810699,1726075145.9392846,"[  12.06   17.42  -22.78   13.4    17.42 -147.4    -2.68  -18.76  -20.1
 -100.5   -16.08  -18.76  -54.94  -12.06  -17.42   13.4 ]","[3.117049  3.126253  3.3256702 3.0986412 3.126253  3.6094568 3.3747578
 3.1523306 3.19835   3.5434957 3.34868   3.1692042 3.4499228 3.1553984
 3.2428353 3.035748 ]","[-0.02398082 -0.04796165 -1.4628303   0.407674   -0.07194247 -2.0623507
 -2.2302167  -0.04796165  0.         -2.206236   -1.8705043  -0.16786577
 -1.6786577   0.         -0.8872905   0.9832138 ]",pos,,start
1726075146.2613544,1726075145.9392846,"[  13.4    12.06  -25.46   10.72    2.68 -151.42  -16.08  -18.76  -20.1
 -112.56  -24.12  -18.76  -60.3   -12.06  -17.42   14.74]","[3.117049  3.1308548 3.2489712 3.121651  3.126253  3.512816  3.265845
 3.1538644 3.19835   3.4468548 3.264311  3.1630683 3.3686218 3.1553984
 3.19835   3.0863693]","[ 0.02398082  0.16786577 -0.5995206   0.21582742  0.04796165 -0.6714631
 -0.815348    0.02398082  0.         -0.6714631  -0.6235014  -0.02398082
 -0.57553977  0.         -0.35971236  0.43165484]",pos,,start
1726075146.3421068,1726075145.9392846,"[  14.74   16.08  -22.78   13.4    18.76 -178.22  -17.42  -17.42  -20.1
 -131.32  -26.8   -18.76  -65.66  -12.06  -17.42   12.06]","[3.117049  3.1400588 3.2213597 3.1277869 3.124719  3.4944081 3.2305636
 3.1538644 3.19835   3.425379  3.2366996 3.1615343 3.342544  3.1538644
 3.1799421 3.107845 ]","[ 0.          0.04796165 -0.1918466   0.02398082  0.          0.02398082
 -0.23980825  0.02398082  0.          0.         -0.16786577  0.
 -0.1918466   0.         -0.14388494  0.16786577]",pos,,start
1726075146.4211388,1726075145.9392846,"[  13.4     0.    -25.46   -1.34   18.76 -178.22  -20.1   -18.76  -21.44
 -134.    -28.14  -20.1   -71.02  -12.06  -18.76   14.74]","[3.117049  3.1400588 3.2136898 3.1293209 3.124719  3.4944081 3.2244277
 3.1538644 3.19835   3.425379  3.2320976 3.1615343 3.3333402 3.1538644
 3.1753402 3.113981 ]","[ 0.          0.02398082  0.          0.02398082  0.          0.
  0.          0.02398082  0.          0.02398082  0.          0.
 -0.07194247  0.          0.          0.02398082]",pos,,start
1726075146.5011353,1726075145.9392846,"[  13.4     0.    -25.46   13.4    17.42 -176.88  -18.76  -18.76  -20.1
 -140.7   -30.82  -18.76  -69.68  -12.06  -18.76   13.4 ]","[3.117049  3.1400588 3.2136898 3.1293209 3.124719  3.4928741 3.2244277
 3.1538644 3.19835   3.425379  3.2320976 3.1615343 3.3302722 3.1538644
 3.1753402 3.115515 ]","[0.         0.02398082 0.         0.         0.         0.02398082
 0.         0.02398082 0.         0.         0.         0.
 0.         0.         0.         0.02398082]",pos,,start
1726075146.5812647,1726075145.9392846,"[  13.4     0.    -25.46   12.06   18.76 -175.54  -18.76  -18.76  -20.1
 -132.66  -30.82  -18.76  -67.    -12.06  -18.76   13.4 ]","[3.117049  3.1400588 3.2136898 3.1293209 3.124719  3.4928741 3.2244277
 3.1538644 3.19835   3.425379  3.2320976 3.1615343 3.3302722 3.1538644
 3.1753402 3.115515 ]","[ 0.          0.02398082  0.          0.02398082  0.         -0.04796165
  0.          0.02398082  0.         -0.02398082  0.          0.
  0.          0.          0.          0.07194247]",pos,,start
1726075146.6613564,1726075145.9392846,"[  13.4     0.    -26.8    12.06   17.42 -179.56  -18.76  -20.1   -20.1
 -136.68  -30.82  -18.76  -67.    -12.06  -18.76    4.02]","[3.117049  3.1400588 3.2136898 3.1293209 3.124719  3.4913402 3.2244277
 3.1538644 3.19835   3.423845  3.2320976 3.1615343 3.3302722 3.1538644
 3.1753402 3.121651 ]","[0.         0.02398082 0.         0.02398082 0.         0.
 0.         0.02398082 0.         0.         0.         0.
 0.         0.         0.         0.        ]",pos,,start
