Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726093529.166878,1726093529.1659064,"[  0.     0.     0.     1.34   0.   -10.72   0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.  ]","[3.0909712 4.62802   3.3993015 3.5603695 3.2136898 4.8197675 3.9714763
 3.8625636 3.2136898 4.878059  4.5237093 3.4729326 4.6218843 3.028078
 3.5665054 2.5326023]","[-0.04796165 -0.8633097  -0.21582742 -0.551559   -0.07194247 -0.8393288
 -0.6714631  -0.7913672   0.         -0.6714631  -0.8633097  -0.3117507
 -1.103118    0.28776988 -0.6474822   0.7194247 ]",pos,,start
1726093529.2490451,1726093529.1659064,"[  13.4  -385.92  -42.88  -25.46  -18.76 -553.42  -53.6   -34.84  -21.44
 -471.68  -91.12  -24.12 -203.68   17.42  -21.44   30.82]","[3.0986412 4.224583  3.3348742 3.4085052 3.192214  4.402525  3.6861558
 3.592583  3.2090878 4.4393406 4.068117  3.354816  4.1739616 3.0679617
 3.4008355 2.7458255]","[ 0.11990412 -6.7386117  -1.1750604  -2.182255   -0.4796165  -7.5299788
 -4.412472   -3.836932   -0.04796165 -7.793768   -7.050362   -1.7266194
 -6.97842     0.5035973  -2.3741016   2.997603  ]",pos,,start
1726093529.3282669,1726093529.1659064,"[ 13.4  -41.54 -20.1  -14.74 -17.42 -92.46  -4.02 -13.4  -21.44 -48.24
   0.   -13.4  -40.2   14.74 -14.74  13.4 ]","[3.106311  3.7337093 3.2520392 3.270447  3.1722722 3.8564277 3.4054372
 3.354816  3.2075539 3.8518257 3.581845  3.2428353 3.6999617 3.0986412
 3.2551072 2.9406412]","[ 0.02398082 -4.6762605  -0.7194247  -1.223022   -0.04796165 -5.203839
 -2.5659482  -2.206236   -0.02398082 -5.82734    -4.412472   -0.9832138
 -4.3165483   0.28776988 -1.0551562   1.8705043 ]",pos,,start
1726093529.4078362,1726093529.1659064,"[  14.74  -54.94  -22.78  -13.4   -18.76 -105.86  -16.08  -18.76  -24.12
  -81.74  -14.74  -14.74  -54.94   14.74  -18.76   13.4 ]","[3.104777  3.4729326 3.2198257 3.2060199 3.1661363 3.577243  3.276583
 3.2413013 3.204486  3.5465636 3.350214  3.193748  3.4729326 3.109379
 3.195282  3.044952 ]","[ 0.02398082 -2.3741016  -0.23980825 -0.551559   -0.02398082 -2.4700248
 -1.103118   -1.0311754   0.         -2.6139097  -1.9424467  -0.3836932
 -1.9424467   0.11990412 -0.57553977  0.8393288 ]",pos,,start
1726093529.4878318,1726093529.1659064,"[  13.4   -53.6   -24.12  -14.74  -18.76 -113.9   -17.42  -20.1   -22.78
  -96.48  -25.46  -14.74  -61.64   14.74  -18.76   14.74]","[3.103243  3.35635   3.2136898 3.1768742 3.1646023 3.4591267 3.2290297
 3.193748  3.204486  3.426913  3.261243  3.1738062 3.3778257 3.113981
 3.1676702 3.0848353]","[ 0.         -0.8393288   0.         -0.23980825  0.         -0.7913672
 -0.33573154 -0.407674    0.         -0.815348   -0.6474822  -0.11990412
 -0.69544387  0.02398082 -0.1918466   0.33573154]",pos,,start
1726093529.5679693,1726093529.1659064,"[  14.74  -57.62  -24.12  -14.74  -20.1  -104.52  -18.76  -20.1   -21.44
 -104.52  -25.46  -16.08  -60.3    16.08  -18.76   13.4 ]","[3.103243  3.3195345 3.2136898 3.1630683 3.1646023 3.4161751 3.2136898
 3.1692042 3.204486  3.3900976 3.2290297 3.1676702 3.3364081 3.113981
 3.1584663 3.104777 ]","[ 0.         -0.14388494  0.         -0.04796165  0.02398082 -0.21582742
 -0.04796165 -0.0959233   0.         -0.11990412 -0.11990412  0.
 -0.21582742  0.02398082 -0.02398082  0.11990412]",pos,,start
1726093529.6822438,1726093529.1659064,"[  14.74  -64.32  -24.12  -14.74  -18.76 -121.94  -18.76  -20.1   -22.78
 -105.86  -26.8   -14.74  -64.32   14.74  -17.42   12.06]","[3.103243  3.3164666 3.2136898 3.1600003 3.1646023 3.4146411 3.2106218
 3.1646023 3.204486  3.3854957 3.2244277 3.1676702 3.3272042 3.113981
 3.1538644 3.110913 ]","[ 0.          0.          0.          0.          0.          0.02398082
  0.          0.          0.          0.          0.          0.
 -0.02398082  0.02398082  0.          0.11990412]",pos,,start
1726093529.7596483,1726093529.1659064,"[  14.74  -65.66  -24.12  -14.74  -20.1  -121.94  -20.1   -20.1   -22.78
 -105.86  -26.8   -14.74  -65.66   14.74  -18.76   14.74]","[3.103243  3.3164666 3.2136898 3.1600003 3.1646023 3.4146411 3.2121558
 3.1646023 3.204486  3.3854957 3.2259617 3.1676702 3.3256702 3.113981
 3.1538644 3.112447 ]","[0.         0.         0.         0.         0.         0.02398082
 0.02398082 0.         0.         0.         0.         0.
 0.         0.02398082 0.         0.02398082]",pos,,start
1726093529.8397005,1726093529.1659064,"[  16.08  -64.32  -24.12  -13.4   -20.1  -120.6   -20.1   -20.1   -21.44
 -105.86  -28.14  -16.08  -65.66   13.4   -18.76   14.74]","[3.103243  3.3164666 3.2136898 3.1600003 3.1646023 3.4146411 3.2121558
 3.1646023 3.204486  3.3854957 3.2259617 3.1676702 3.3256702 3.113981
 3.1538644 3.112447 ]","[0.         0.         0.         0.         0.         0.02398082
 0.02398082 0.         0.02398082 0.         0.02398082 0.
 0.         0.02398082 0.         0.02398082]",pos,,start
1726093529.9197886,1726093529.1659064,"[  14.74  -64.32  -24.12  -14.74  -18.76 -121.94  -21.44  -20.1   -21.44
 -105.86  -26.8   -14.74  -67.     14.74  -18.76   13.4 ]","[3.103243  3.3164666 3.2136898 3.1600003 3.1646023 3.4146411 3.2106218
 3.1646023 3.204486  3.3854957 3.2259617 3.1661363 3.3256702 3.113981
 3.1538644 3.112447 ]","[0.         0.         0.         0.         0.         0.02398082
 0.02398082 0.02398082 0.02398082 0.02398082 0.         0.
 0.         0.02398082 0.         0.02398082]",pos,,start
