Time,start_time,Torque,Position,Velocity,Control_mode,subtask,Subtask
1726086807.7897143,1726086807.7888138,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[3.126253  4.13868   3.8932433 2.802583  3.1722722 4.7538066 2.8347964
 3.741379  3.2182918 4.6817093 3.8073404 3.0495539 4.6096125 3.0740974
 3.3808937 2.4942527]","[-0.04796165 -0.8393288  -0.93525213  0.69544387 -0.02398082 -1.0311754
  0.6474822  -0.8393288  -0.02398082 -0.9832138  -0.6235014   0.1918466
 -1.1510795   0.16786577 -0.407674    0.93525213]",pos,,start
1726086807.8729887,1726086807.7888138,"[  13.4  -178.22  -60.3    18.76  -22.78 -522.6     5.36  -33.5   -21.44
 -384.58  -52.26   14.74 -174.2    14.74  -17.42   26.8 ]","[3.1293209 3.8472238 3.6293986 2.9406412 3.1630683 4.3319616 2.9713209
 3.505146  3.2136898 4.2706027 3.5711074 3.0817673 4.15402   3.0955732
 3.282719  2.7350876]","[-0.02398082 -4.65228    -3.7889702   1.6067152  -0.26378906 -6.954439
  1.5347728  -3.1894495  -0.07194247 -6.7386117  -3.4292579   0.35971236
 -7.0024004   0.3117507  -1.223022    3.261392  ]",pos,,start
1726086807.9525938,1726086807.7888138,"[  12.06  -37.52  -22.78   13.4   -18.76 -163.48    8.04  -18.76  -21.44
  -81.74  -16.08   14.74  -41.54   13.4   -16.08   10.72]","[3.124719  3.5220199 3.3931656 3.043418  3.1553984 3.8548937 3.0664277
 3.3226023 3.2075539 3.7950685 3.3655539 3.1017091 3.6922917 3.112447
 3.2075539 2.9375732]","[-0.02398082 -3.2134304  -2.0383701   0.93525213 -0.02398082 -4.5563564
  0.7913672  -1.7266194  -0.02398082 -4.796165   -1.9424467   0.21582742
 -4.220625    0.16786577 -0.57553977  1.918466  ]",pos,,start
1726086808.031886,1726086807.7888138,"[  13.4   -34.84  -24.12   16.08  -17.42 -131.32    6.7   -20.1   -21.44
  -95.14  -22.78   13.4   -56.28   16.08  -16.08   12.06]","[3.124719  3.34868   3.279651  3.0955732 3.1477287 3.591049  3.113981
 3.2290297 3.204486  3.5312238 3.262777  3.115515  3.4637287 3.115515
 3.1753402 3.044952 ]","[ 0.02398082 -1.1510795  -0.8872905   0.5035973  -0.02398082 -2.1103125
  0.3836932  -0.7434055  -0.02398082 -2.0623507  -0.7434055   0.14388494
 -1.774581    0.02398082 -0.3117507   0.8633097 ]",pos,,start
1726086808.1122956,1726086807.7888138,"[  13.4   -46.9   -25.46   13.4   -17.42 -132.66    8.04  -20.1   -21.44
 -100.5   -25.46   12.06  -67.     14.74  -16.08   13.4 ]","[3.124719  3.2995927 3.2382333 3.121651  3.1477287 3.4882724 3.1308548
 3.189146  3.202952  3.431515  3.2320976 3.121651  3.3793597 3.115515
 3.1584663 3.0863693]","[ 0.02398082 -0.43165484 -0.35971236  0.23980825  0.         -0.7434055
  0.14388494 -0.33573154  0.         -0.7434055  -0.14388494  0.02398082
 -0.6235014   0.02398082 -0.0959233   0.35971236]",pos,,start
1726086808.1919868,1726086807.7888138,"[  14.74  -49.58  -24.12   13.4   -18.76 -151.42    8.04  -20.1   -21.44
 -113.9   -29.48   12.06  -65.66   16.08  -16.08   12.06]","[3.124719  3.2857869 3.2198257 3.1277869 3.1477287 3.4637287 3.1385248
 3.1707382 3.202952  3.4054372 3.2274957 3.123185  3.34868   3.115515
 3.1538644 3.103243 ]","[ 0.02398082  0.          0.          0.02398082  0.          0.
  0.04796165 -0.04796165  0.02398082  0.          0.          0.02398082
 -0.14388494  0.02398082  0.          0.0959233 ]",pos,,start
1726086808.3042302,1726086807.7888138,"[  14.74  -50.92  -25.46   13.4   -17.42 -160.8     0.    -20.1   -22.78
 -120.6   -30.82   13.4   -75.04   14.74   -8.04   12.06]","[3.124719  3.2857869 3.2182918 3.1277869 3.1477287 3.4637287 3.1400588
 3.1661363 3.202952  3.4039035 3.2274957 3.123185  3.339476  3.115515
 3.1538644 3.112447 ]","[0.02398082 0.         0.02398082 0.         0.         0.
 0.02398082 0.         0.         0.         0.         0.02398082
 0.         0.02398082 0.02398082 0.02398082]",pos,,start
1726086808.3846858,1726086807.7888138,"[  12.06  -50.92  -26.8    12.06  -17.42 -162.14    0.    -21.44  -21.44
 -120.6   -29.48   12.06  -69.68   14.74   -1.34   13.4 ]","[3.124719  3.2857869 3.2198257 3.1277869 3.1477287 3.4637287 3.1400588
 3.1661363 3.202952  3.4039035 3.2274957 3.123185  3.3379421 3.115515
 3.1523306 3.112447 ]","[ 0.02398082  0.          0.          0.          0.          0.
  0.02398082  0.02398082  0.          0.          0.          0.02398082
  0.          0.02398082 -0.02398082  0.02398082]",pos,,start
1726086808.4637666,1726086807.7888138,"[  13.4   -50.92  -26.8    13.4   -17.42 -162.14    0.    -20.1   -21.44
 -120.6   -29.48   13.4   -73.7    14.74  -14.74   13.4 ]","[3.124719  3.2857869 3.2182918 3.1277869 3.1477287 3.4637287 3.1400588
 3.1661363 3.202952  3.4039035 3.2274957 3.123185  3.339476  3.115515
 3.1523306 3.112447 ]","[0.02398082 0.         0.         0.02398082 0.         0.
 0.02398082 0.02398082 0.         0.         0.         0.02398082
 0.02398082 0.02398082 0.         0.02398082]",pos,,start
1726086808.5437195,1726086807.7888138,"[  13.4   -49.58  -28.14   13.4   -17.42 -160.8     0.    -21.44  -20.1
 -120.6   -29.48   13.4   -76.38   14.74  -16.08   12.06]","[3.124719  3.2857869 3.2182918 3.1293209 3.1477287 3.4637287 3.1400588
 3.1661363 3.202952  3.4039035 3.2274957 3.123185  3.3379421 3.115515
 3.1523306 3.112447 ]","[0.02398082 0.         0.         0.         0.         0.
 0.02398082 0.02398082 0.         0.         0.         0.02398082
 0.         0.02398082 0.         0.02398082]",pos,,start
